"sequence_id","position","state","group","channel","weight"
"S034",2,"C","comparison","primary",1
"S035",2,"B","reference","primary",1
"S036",2,"A","comparison","primary",1
"S037",2,"D","reference","primary",1
"S038",2,"C","comparison","primary",1
"S039",2,"B","reference","primary",1
"S040",2,"A","comparison","primary",1
"S041",2,"D","reference","primary",1
"S042",2,"C","comparison","primary",1
"S043",2,"B","reference","primary",1
"S044",2,"A","comparison","primary",1
"S045",2,"D","reference","primary",1
"S046",2,"C","comparison","primary",1
"S047",2,"B","reference","primary",1
"S048",2,"A","comparison","primary",1
"S049",2,"D","reference","primary",1
"S050",2,"C","comparison","primary",1
"S051",2,"B","reference","primary",1
"S052",2,"A","comparison","primary",1
"S053",2,"D","reference","primary",1
"S054",2,"C","comparison","primary",1
"S055",2,"B","reference","primary",1
"S056",2,"A","comparison","primary",1
"S057",2,"D","reference","primary",1
"S058",2,"C","comparison","primary",1
"S059",2,"B","reference","primary",1
"S060",2,"A","comparison","primary",1
"S061",2,"D","reference","primary",1
"S062",2,"C","comparison","primary",1
"S063",2,"B","reference","primary",1
"S064",2,"A","comparison","primary",1
"S065",2,"D","reference","primary",1
"S066",2,"C","comparison","primary",1
"S067",2,"B","reference","primary",1
"S068",2,"A","comparison","primary",1
"S069",2,"D","reference","primary",1
"S070",2,"C","comparison","primary",1
"S071",2,"B","reference","primary",1
"S072",2,"A","comparison","primary",1
"S001",3,"A","reference","primary",1
"S002",3,"A","comparison","primary",1
"S003",3,"C","reference","primary",1
"S004",3,"C","comparison","primary",1
"S005",3,"A","reference","primary",1
"S006",3,"A","comparison","primary",1
"S007",3,"C","reference","primary",1
"S008",3,"C","comparison","primary",1
"S009",3,"A","reference","primary",1
"S010",3,"A","comparison","primary",1
"S011",3,"C","reference","primary",1
"S012",3,"C","comparison","primary",1
"S013",3,"A","reference","primary",1
"S014",3,"A","comparison","primary",1
"S015",3,"C","reference","primary",1
"S016",3,"C","comparison","primary",1
"S017",3,"A","reference","primary",1
"S018",3,"A","comparison","primary",1
"S019",3,"C","reference","primary",1
"S020",3,"C","comparison","primary",1
"S021",3,"A","reference","primary",1
"S022",3,"A","comparison","primary",1
"S023",3,"C","reference","primary",1
"S024",3,"C","comparison","primary",1
"S025",3,"A","reference","primary",1
"S026",3,"A","comparison","primary",1
"S027",3,"C","reference","primary",1
"S028",3,"C","comparison","primary",1
"S029",3,"A","reference","primary",1
"S030",3,"A","comparison","primary",1
"S031",3,"C","reference","primary",1
"S032",3,"C","comparison","primary",1
"S033",3,"A","reference","primary",1
"S034",3,"A","comparison","primary",1
"S035",3,"C","reference","primary",1
"S036",3,"C","comparison","primary",1
"S037",3,"A","reference","primary",1
"S038",3,"A","comparison","primary",1
"S039",3,"C","reference","primary",1
"S040",3,"C","comparison","primary",1
"S041",3,"A","reference","primary",1
"S042",3,"A","comparison","primary",1
"S043",3,"C","reference","primary",1
"S044",3,"C","comparison","primary",1
"S045",3,"A","reference","primary",1
"S046",3,"A","comparison","primary",1
"S047",3,"C","reference","primary",1
"S048",3,"C","comparison","primary",1
"S049",3,"A","reference","primary",1
"S050",3,"A","comparison","primary",1
"S051",3,"C","reference","primary",1
"S052",3,"C","comparison","primary",1
"S053",3,"A","reference","primary",1
"S054",3,"A","comparison","primary",1
"S055",3,"C","reference","primary",1
"S056",3,"C","comparison","primary",1
"S057",3,"A","reference","primary",1
"S058",3,"A","comparison","primary",1
"S059",3,"C","reference","primary",1
"S060",3,"C","comparison","primary",1
"S061",3,"A","reference","primary",1
"S062",3,"A","comparison","primary",1
"S063",3,"C","reference","primary",1
"S064",3,"C","comparison","primary",1
"S065",3,"A","reference","primary",1
"S066",3,"A","comparison","primary",1
"S067",3,"C","reference","primary",1
"S068",3,"C","comparison","primary",1
"S069",3,"A","reference","primary",1
"S070",3,"A","comparison","primary",1
"S071",3,"C","reference","primary",1
"S072",3,"C","comparison","primary",1
"S001",4,"B","reference","primary",1
"S002",4,"C","comparison","primary",1
"S003",4,"D","reference","primary",1
"S004",4,"A","comparison","primary",1
"S005",4,"B","reference","primary",1
"S006",4,"C","comparison","primary",1
"S007",4,"D","reference","primary",1
"S008",4,"A","comparison","primary",1
"S009",4,"B","reference","primary",1
"S010",4,"C","comparison","primary",1
"S011",4,"D","reference","primary",1
"S012",4,"A","comparison","primary",1
"S013",4,"B","reference","primary",1
"S014",4,"C","comparison","primary",1
"S015",4,"D","reference","primary",1
"S016",4,"A","comparison","primary",1
"S017",4,"B","reference","primary",1
"S018",4,"C","comparison","primary",1
"S019",4,"D","reference","primary",1
"S020",4,"A","comparison","primary",1
"S021",4,"B","reference","primary",1
"S022",4,"C","comparison","primary",1
"S023",4,"D","reference","primary",1
"S024",4,"A","comparison","primary",1
"S025",4,"B","reference","primary",1
"S026",4,"C","comparison","primary",1
"S027",4,"D","reference","primary",1
"S028",4,"A","comparison","primary",1
"S029",4,"B","reference","primary",1
"S030",4,"C","comparison","primary",1
"S031",4,"D","reference","primary",1
"S032",4,"A","comparison","primary",1
"S033",4,"B","reference","primary",1
"S034",4,"C","comparison","primary",1
"S035",4,"D","reference","primary",1
"S036",4,"A","comparison","primary",1
"S037",4,"B","reference","primary",1
"S038",4,"C","comparison","primary",1
"S039",4,"D","reference","primary",1
"S040",4,"A","comparison","primary",1
"S041",4,"B","reference","primary",1
"S042",4,"C","comparison","primary",1
"S043",4,"D","reference","primary",1
"S044",4,"A","comparison","primary",1
"S045",4,"B","reference","primary",1
"S046",4,"C","comparison","primary",1
"S047",4,"D","reference","primary",1
"S048",4,"A","comparison","primary",1
"S049",4,"B","reference","primary",1
"S050",4,"C","comparison","primary",1
"S051",4,"D","reference","primary",1
"S052",4,"A","comparison","primary",1
"S053",4,"B","reference","primary",1
"S054",4,"C","comparison","primary",1
"S055",4,"D","reference","primary",1
"S056",4,"A","comparison","primary",1
"S057",4,"B","reference","primary",1
"S058",4,"C","comparison","primary",1
"S059",4,"D","reference","primary",1
"S060",4,"A","comparison","primary",1
"S061",4,"B","reference","primary",1
"S062",4,"C","comparison","primary",1
"S063",4,"D","reference","primary",1
"S064",4,"A","comparison","primary",1
"S065",4,"B","reference","primary",1
"S066",4,"C","comparison","primary",1
"S067",4,"D","reference","primary",1
"S068",4,"A","comparison","primary",1
"S069",4,"B","reference","primary",1
"S070",4,"C","comparison","primary",1
"S071",4,"D","reference","primary",1
"S072",4,"A","comparison","primary",1
"S001",5,"C","reference","primary",1
"S002",5,"A","comparison","primary",1
"S003",5,"A","reference","primary",1
"S004",5,"C","comparison","primary",1
"S005",5,"C","reference","primary",1
"S006",5,"A","comparison","primary",1
"S007",5,"A","reference","primary",1
"S008",5,"C","comparison","primary",1
"S009",5,"C","reference","primary",1
"S010",5,"A","comparison","primary",1
"S011",5,"A","reference","primary",1
"S012",5,"C","comparison","primary",1
"S013",5,"C","reference","primary",1
"S014",5,"A","comparison","primary",1
"S015",5,"A","reference","primary",1
"S016",5,"C","comparison","primary",1
"S017",5,"C","reference","primary",1
"S018",5,"A","comparison","primary",1
"S019",5,"A","reference","primary",1
"S020",5,"C","comparison","primary",1
"S021",5,"C","reference","primary",1
"S022",5,"A","comparison","primary",1
"S023",5,"A","reference","primary",1
"S024",5,"C","comparison","primary",1
"S025",5,"C","reference","primary",1
"S026",5,"A","comparison","primary",1
"S027",5,"A","reference","primary",1
"S028",5,"C","comparison","primary",1
"S029",5,"C","reference","primary",1
"S030",5,"A","comparison","primary",1
"S031",5,"A","reference","primary",1
"S032",5,"C","comparison","primary",1
"S033",5,"C","reference","primary",1
"S034",5,"A","comparison","primary",1
"S035",5,"A","reference","primary",1
"S036",5,"C","comparison","primary",1
"S037",5,"C","reference","primary",1
"S038",5,"A","comparison","primary",1
"S039",5,"A","reference","primary",1
"S040",5,"C","comparison","primary",1
"S041",5,"C","reference","primary",1
"S042",5,"A","comparison","primary",1
"S043",5,"A","reference","primary",1
"S044",5,"C","comparison","primary",1
"S045",5,"C","reference","primary",1
"S046",5,"A","comparison","primary",1
"S047",5,"A","reference","primary",1
"S048",5,"C","comparison","primary",1
"S049",5,"C","reference","primary",1
"S050",5,"A","comparison","primary",1
"S051",5,"A","reference","primary",1
"S052",5,"C","comparison","primary",1
"S053",5,"C","reference","primary",1
"S054",5,"A","comparison","primary",1
"S055",5,"A","reference","primary",1
"S056",5,"C","comparison","primary",1
"S057",5,"C","reference","primary",1
"S058",5,"A","comparison","primary",1
"S059",5,"A","reference","primary",1
"S060",5,"C","comparison","primary",1
"S061",5,"C","reference","primary",1
"S062",5,"A","comparison","primary",1
"S063",5,"A","reference","primary",1
"S064",5,"C","comparison","primary",1
"S065",5,"C","reference","primary",1
"S066",5,"A","comparison","primary",1
"S067",5,"A","reference","primary",1
"S068",5,"C","comparison","primary",1
"S069",5,"C","reference","primary",1
"S070",5,"A","comparison","primary",1
"S071",5,"A","reference","primary",1
"S072",5,"C","comparison","primary",1
"S001",6,"D","reference","primary",1
"S002",6,"C","comparison","primary",1
"S003",6,"B","reference","primary",1
"S004",6,"A","comparison","primary",1
"S005",6,"D","reference","primary",1
"S006",6,"C","comparison","primary",1
"S007",6,"B","reference","primary",1
"S008",6,"A","comparison","primary",1
"S009",6,"D","reference","primary",1
"S010",6,"C","comparison","primary",1
"S011",6,"B","reference","primary",1
"S012",6,"A","comparison","primary",1
"S013",6,"D","reference","primary",1
"S014",6,"C","comparison","primary",1
"S015",6,"B","reference","primary",1
"S016",6,"A","comparison","primary",1
"S017",6,"D","reference","primary",1
"S018",6,"C","comparison","primary",1
"S019",6,"B","reference","primary",1
"S020",6,"A","comparison","primary",1
"S021",6,"D","reference","primary",1
"S022",6,"C","comparison","primary",1
"S023",6,"B","reference","primary",1
"S024",6,"A","comparison","primary",1
"S025",6,"D","reference","primary",1
"S026",6,"C","comparison","primary",1
"S027",6,"B","reference","primary",1
"S028",6,"A","comparison","primary",1
"S029",6,"D","reference","primary",1
"S030",6,"C","comparison","primary",1
"S031",6,"B","reference","primary",1
"S032",6,"A","comparison","primary",1
"S033",6,"D","reference","primary",1
"S034",6,"C","comparison","primary",1
"S035",6,"B","reference","primary",1
"S036",6,"A","comparison","primary",1
"S037",6,"D","reference","primary",1
"S038",6,"C","comparison","primary",1
"S039",6,"B","reference","primary",1
"S040",6,"A","comparison","primary",1
"S041",6,"D","reference","primary",1
"S042",6,"C","comparison","primary",1
"S043",6,"B","reference","primary",1
"S044",6,"A","comparison","primary",1
"S045",6,"D","reference","primary",1
"S046",6,"C","comparison","primary",1
"S047",6,"B","reference","primary",1
"S048",6,"A","comparison","primary",1
"S049",6,"D","reference","primary",1
"S050",6,"C","comparison","primary",1
"S051",6,"B","reference","primary",1
"S052",6,"A","comparison","primary",1
"S053",6,"D","reference","primary",1
"S054",6,"C","comparison","primary",1
"S055",6,"B","reference","primary",1
"S056",6,"A","comparison","primary",1
"S057",6,"D","reference","primary",1
"S058",6,"C","comparison","primary",1
"S059",6,"B","reference","primary",1
"S060",6,"A","comparison","primary",1
"S061",6,"D","reference","primary",1
"S062",6,"C","comparison","primary",1
"S063",6,"B","reference","primary",1
"S064",6,"A","comparison","primary",1
"S065",6,"D","reference","primary",1
"S066",6,"C","comparison","primary",1
"S067",6,"B","reference","primary",1
"S068",6,"A","comparison","primary",1
"S069",6,"D","reference","primary",1
"S070",6,"C","comparison","primary",1
"S071",6,"B","reference","primary",1
"S072",6,"A","comparison","primary",1
"S001",7,"B","reference","primary",1
"S002",7,"A","comparison","primary",1
"S003",7,"D","reference","primary",1
"S004",7,"C","comparison","primary",1
"S005",7,"B","reference","primary",1
"S006",7,"A","comparison","primary",1
"S007",7,"D","reference","primary",1
"S008",7,"C","comparison","primary",1
"S009",7,"B","reference","primary",1
"S010",7,"A","comparison","primary",1
"S011",7,"D","reference","primary",1
"S012",7,"C","comparison","primary",1
"S013",7,"B","reference","primary",1
"S014",7,"A","comparison","primary",1
"S015",7,"D","reference","primary",1
"S016",7,"C","comparison","primary",1
"S017",7,"B","reference","primary",1
"S018",7,"A","comparison","primary",1
"S019",7,"D","reference","primary",1
"S020",7,"C","comparison","primary",1
"S021",7,"B","reference","primary",1
"S022",7,"A","comparison","primary",1
"S023",7,"D","reference","primary",1
"S024",7,"C","comparison","primary",1
"S025",7,"B","reference","primary",1
"S026",7,"A","comparison","primary",1
"S027",7,"D","reference","primary",1
"S028",7,"C","comparison","primary",1
"S029",7,"B","reference","primary",1
"S030",7,"A","comparison","primary",1
"S031",7,"D","reference","primary",1
"S032",7,"C","comparison","primary",1
"S033",7,"B","reference","primary",1
"S034",7,"A","comparison","primary",1
"S035",7,"D","reference","primary",1
"S036",7,"C","comparison","primary",1
"S037",7,"B","reference","primary",1
"S038",7,"A","comparison","primary",1
"S039",7,"D","reference","primary",1
"S040",7,"C","comparison","primary",1
"S041",7,"B","reference","primary",1
"S042",7,"A","comparison","primary",1
"S043",7,"D","reference","primary",1
"S044",7,"C","comparison","primary",1
"S045",7,"B","reference","primary",1
"S046",7,"A","comparison","primary",1
"S047",7,"D","reference","primary",1
"S048",7,"C","comparison","primary",1
"S049",7,"B","reference","primary",1
"S050",7,"A","comparison","primary",1
"S051",7,"D","reference","primary",1
"S052",7,"C","comparison","primary",1
"S053",7,"B","reference","primary",1
"S054",7,"A","comparison","primary",1
"S055",7,"D","reference","primary",1
"S056",7,"C","comparison","primary",1
"S057",7,"B","reference","primary",1
"S058",7,"A","comparison","primary",1
"S059",7,"D","reference","primary",1
"S060",7,"C","comparison","primary",1
"S061",7,"B","reference","primary",1
"S062",7,"A","comparison","primary",1
"S063",7,"D","reference","primary",1
"S064",7,"C","comparison","primary",1
"S065",7,"B","reference","primary",1
"S066",7,"A","comparison","primary",1
"S067",7,"D","reference","primary",1
"S068",7,"C","comparison","primary",1
"S069",7,"B","reference","primary",1
"S070",7,"A","comparison","primary",1
"S071",7,"D","reference","primary",1
"S072",7,"C","comparison","primary",1
"S001",8,"C","reference","primary",1
"S002",8,"C","comparison","primary",1
"S003",8,"A","reference","primary",1
"S004",8,"A","comparison","primary",1
"S005",8,"C","reference","primary",1
"S006",8,"C","comparison","primary",1
"S007",8,"A","reference","primary",1
"S008",8,"A","comparison","primary",1
"S009",8,"C","reference","primary",1
"S010",8,"C","comparison","primary",1
"S011",8,"A","reference","primary",1
"S012",8,"A","comparison","primary",1
"S013",8,"C","reference","primary",1
"S014",8,"C","comparison","primary",1
"S015",8,"A","reference","primary",1
"S016",8,"A","comparison","primary",1
"S017",8,"C","reference","primary",1
"S018",8,"C","comparison","primary",1
"S019",8,"A","reference","primary",1
"S020",8,"A","comparison","primary",1
"S021",8,"C","reference","primary",1
"S022",8,"C","comparison","primary",1
"S023",8,"A","reference","primary",1
"S024",8,"A","comparison","primary",1
"S025",8,"C","reference","primary",1
"S026",8,"C","comparison","primary",1
"S027",8,"A","reference","primary",1
"S028",8,"A","comparison","primary",1
"S029",8,"C","reference","primary",1
"S030",8,"C","comparison","primary",1
"S031",8,"A","reference","primary",1
"S032",8,"A","comparison","primary",1
"S033",8,"C","reference","primary",1
"S034",8,"C","comparison","primary",1
"S035",8,"A","reference","primary",1
"S036",8,"A","comparison","primary",1
"S037",8,"C","reference","primary",1
"S038",8,"C","comparison","primary",1
"S039",8,"A","reference","primary",1
"S040",8,"A","comparison","primary",1
"S041",8,"C","reference","primary",1
"S042",8,"C","comparison","primary",1
"S043",8,"A","reference","primary",1
"S044",8,"A","comparison","primary",1
"S045",8,"C","reference","primary",1
"S046",8,"C","comparison","primary",1
"S047",8,"A","reference","primary",1
"S048",8,"A","comparison","primary",1
"S049",8,"C","reference","primary",1
"S050",8,"C","comparison","primary",1
"S051",8,"A","reference","primary",1
"S052",8,"A","comparison","primary",1
"S053",8,"C","reference","primary",1
"S054",8,"C","comparison","primary",1
"S055",8,"A","reference","primary",1
"S056",8,"A","comparison","primary",1
"S057",8,"C","reference","primary",1
"S058",8,"C","comparison","primary",1
"S059",8,"A","reference","primary",1
"S060",8,"A","comparison","primary",1
"S061",8,"C","reference","primary",1
"S062",8,"C","comparison","primary",1
"S063",8,"A","reference","primary",1
"S064",8,"A","comparison","primary",1
"S065",8,"C","reference","primary",1
"S066",8,"C","comparison","primary",1
"S067",8,"A","reference","primary",1
"S068",8,"A","comparison","primary",1
"S069",8,"C","reference","primary",1
"S070",8,"C","comparison","primary",1
"S071",8,"A","reference","primary",1
"S072",8,"A","comparison","primary",1
"S001",9,"D","reference","primary",1
"S002",9,"A","comparison","primary",1
"S003",9,"B","reference","primary",1
"S004",9,"C","comparison","primary",1
"S005",9,"D","reference","primary",1
"S006",9,"A","comparison","primary",1
"S007",9,"B","reference","primary",1
"S008",9,"C","comparison","primary",1
"S009",9,"D","reference","primary",1
"S010",9,"A","comparison","primary",1
"S011",9,"B","reference","primary",1
"S012",9,"C","comparison","primary",1
"S013",9,"D","reference","primary",1
"S014",9,"A","comparison","primary",1
"S015",9,"B","reference","primary",1
"S016",9,"C","comparison","primary",1
"S017",9,"D","reference","primary",1
"S018",9,"A","comparison","primary",1
"S019",9,"B","reference","primary",1
"S020",9,"C","comparison","primary",1
"S021",9,"D","reference","primary",1
"S022",9,"A","comparison","primary",1
"S023",9,"B","reference","primary",1
"S024",9,"C","comparison","primary",1
"S025",9,"D","reference","primary",1
"S026",9,"A","comparison","primary",1
"S027",9,"B","reference","primary",1
"S028",9,"C","comparison","primary",1
"S029",9,"D","reference","primary",1
"S030",9,"A","comparison","primary",1
"S031",9,"B","reference","primary",1
"S032",9,"C","comparison","primary",1
"S033",9,"D","reference","primary",1
"S034",9,"A","comparison","primary",1
"S035",9,"B","reference","primary",1
"S036",9,"C","comparison","primary",1
"S037",9,"D","reference","primary",1
"S038",9,"A","comparison","primary",1
"S039",9,"B","reference","primary",1
"S040",9,"C","comparison","primary",1
"S041",9,"D","reference","primary",1
"S042",9,"A","comparison","primary",1
"S043",9,"B","reference","primary",1
"S044",9,"C","comparison","primary",1
"S045",9,"D","reference","primary",1
"S046",9,"A","comparison","primary",1
"S047",9,"B","reference","primary",1
"S048",9,"C","comparison","primary",1
"S049",9,"D","reference","primary",1
"S050",9,"A","comparison","primary",1
"S051",9,"B","reference","primary",1
"S052",9,"C","comparison","primary",1
"S053",9,"D","reference","primary",1
"S054",9,"A","comparison","primary",1
"S055",9,"B","reference","primary",1
"S056",9,"C","comparison","primary",1
"S057",9,"D","reference","primary",1
"S058",9,"A","comparison","primary",1
"S059",9,"B","reference","primary",1
"S060",9,"C","comparison","primary",1
"S061",9,"D","reference","primary",1
"S062",9,"A","comparison","primary",1
"S063",9,"B","reference","primary",1
"S064",9,"C","comparison","primary",1
"S065",9,"D","reference","primary",1
"S066",9,"A","comparison","primary",1
"S067",9,"B","reference","primary",1
"S068",9,"C","comparison","primary",1
"S069",9,"D","reference","primary",1
"S070",9,"A","comparison","primary",1
"S071",9,"B","reference","primary",1
"S072",9,"C","comparison","primary",1
"S001",10,"A","reference","primary",1
"S002",10,"C","comparison","primary",1
"S003",10,"C","reference","primary",1
"S004",10,"A","comparison","primary",1
"S005",10,"A","reference","primary",1
"S006",10,"C","comparison","primary",1
"S007",10,"C","reference","primary",1
"S008",10,"A","comparison","primary",1
"S009",10,"A","reference","primary",1
"S010",10,"C","comparison","primary",1
"S011",10,"C","reference","primary",1
"S012",10,"A","comparison","primary",1
"S013",10,"A","reference","primary",1
"S014",10,"C","comparison","primary",1
"S015",10,"C","reference","primary",1
"S016",10,"A","comparison","primary",1
"S017",10,"A","reference","primary",1
"S018",10,"C","comparison","primary",1
"S019",10,"C","reference","primary",1
"S020",10,"A","comparison","primary",1
"S021",10,"A","reference","primary",1
"S022",10,"C","comparison","primary",1
"S023",10,"C","reference","primary",1
"S024",10,"A","comparison","primary",1
"S025",10,"A","reference","primary",1
"S026",10,"C","comparison","primary",1
"S027",10,"C","reference","primary",1
"S028",10,"A","comparison","primary",1
"S029",10,"A","reference","primary",1
"S030",10,"C","comparison","primary",1
"S031",10,"C","reference","primary",1
"S032",10,"A","comparison","primary",1
"S033",10,"A","reference","primary",1
"S034",10,"C","comparison","primary",1
"S035",10,"C","reference","primary",1
"S036",10,"A","comparison","primary",1
"S037",10,"A","reference","primary",1
"S038",10,"C","comparison","primary",1
"S039",10,"C","reference","primary",1
"S040",10,"A","comparison","primary",1
"S041",10,"A","reference","primary",1
"S042",10,"C","comparison","primary",1
"S043",10,"C","reference","primary",1
"S044",10,"A","comparison","primary",1
"S045",10,"A","reference","primary",1
"S046",10,"C","comparison","primary",1
"S047",10,"C","reference","primary",1
"S048",10,"A","comparison","primary",1
"S049",10,"A","reference","primary",1
"S050",10,"C","comparison","primary",1
"S051",10,"C","reference","primary",1
"S052",10,"A","comparison","primary",1
"S053",10,"A","reference","primary",1
"S054",10,"C","comparison","primary",1
"S055",10,"C","reference","primary",1
"S056",10,"A","comparison","primary",1
"S057",10,"A","reference","primary",1
"S058",10,"C","comparison","primary",1
"S059",10,"C","reference","primary",1
"S060",10,"A","comparison","primary",1
"S061",10,"A","reference","primary",1
"S062",10,"C","comparison","primary",1
"S063",10,"C","reference","primary",1
"S064",10,"A","comparison","primary",1
"S065",10,"A","reference","primary",1
"S066",10,"C","comparison","primary",1
"S067",10,"C","reference","primary",1
"S068",10,"A","comparison","primary",1
"S069",10,"A","reference","primary",1
"S070",10,"C","comparison","primary",1
"S071",10,"C","reference","primary",1
"S072",10,"A","comparison","primary",1
"S001",11,"B","reference","primary",1
"S002",11,"A","comparison","primary",1
"S003",11,"D","reference","primary",1
"S004",11,"C","comparison","primary",1
"S005",11,"B","reference","primary",1
"S006",11,"A","comparison","primary",1
"S007",11,"D","reference","primary",1
"S008",11,"C","comparison","primary",1
"S009",11,"B","reference","primary",1
"S010",11,"A","comparison","primary",1
"S011",11,"D","reference","primary",1
"S012",11,"C","comparison","primary",1
"S013",11,"B","reference","primary",1
"S014",11,"A","comparison","primary",1
"S015",11,"D","reference","primary",1
"S016",11,"C","comparison","primary",1
"S017",11,"B","reference","primary",1
"S018",11,"A","comparison","primary",1
"S019",11,"D","reference","primary",1
"S020",11,"C","comparison","primary",1
"S021",11,"B","reference","primary",1
"S022",11,"A","comparison","primary",1
"S023",11,"D","reference","primary",1
"S024",11,"C","comparison","primary",1
"S025",11,"B","reference","primary",1
"S026",11,"A","comparison","primary",1
"S027",11,"D","reference","primary",1
"S028",11,"C","comparison","primary",1
"S029",11,"B","reference","primary",1
"S030",11,"A","comparison","primary",1
"S031",11,"D","reference","primary",1
"S032",11,"C","comparison","primary",1
"S033",11,"B","reference","primary",1
"S034",11,"A","comparison","primary",1
"S035",11,"D","reference","primary",1
"S036",11,"C","comparison","primary",1
"S037",11,"B","reference","primary",1
"S038",11,"A","comparison","primary",1
"S039",11,"D","reference","primary",1
"S040",11,"C","comparison","primary",1
"S041",11,"B","reference","primary",1
"S042",11,"A","comparison","primary",1
"S043",11,"D","reference","primary",1
"S044",11,"C","comparison","primary",1
"S045",11,"B","reference","primary",1
"S046",11,"A","comparison","primary",1
"S047",11,"D","reference","primary",1
"S048",11,"C","comparison","primary",1
"S049",11,"B","reference","primary",1
"S050",11,"A","comparison","primary",1
"S051",11,"D","reference","primary",1
"S052",11,"C","comparison","primary",1
"S053",11,"B","reference","primary",1
"S054",11,"A","comparison","primary",1
"S055",11,"D","reference","primary",1
"S056",11,"C","comparison","primary",1
"S057",11,"B","reference","primary",1
"S058",11,"A","comparison","primary",1
"S059",11,"D","reference","primary",1
"S060",11,"C","comparison","primary",1
"S061",11,"B","reference","primary",1
"S062",11,"A","comparison","primary",1
"S063",11,"D","reference","primary",1
"S064",11,"C","comparison","primary",1
"S065",11,"B","reference","primary",1
"S066",11,"A","comparison","primary",1
"S067",11,"D","reference","primary",1
"S068",11,"C","comparison","primary",1
"S069",11,"B","reference","primary",1
"S070",11,"A","comparison","primary",1
"S071",11,"D","reference","primary",1
"S072",11,"C","comparison","primary",1
"S001",12,"C","reference","primary",1
"S002",12,"C","comparison","primary",1
"S003",12,"A","reference","primary",1
"S004",12,"A","comparison","primary",1
"S005",12,"C","reference","primary",1
