"package","feature","support","evidence_source","verification_note"
"seqHMM","multichannel_hmm","not yet assessed","",""
"arulesSequences","multichannel_hmm","not yet assessed","",""
"WeightedCluster","multichannel_hmm","not yet assessed","",""
"ClickClust","multichannel_hmm","not yet assessed","",""
"PST","multichannel_hmm","not yet assessed","",""
"march","multichannel_hmm","not yet assessed","",""
"gp3sequences","covariate_hmm","verify from current documentation","",""
"TraMineR","covariate_hmm","not yet assessed","",""
"seqHMM","covariate_hmm","not yet assessed","",""
"arulesSequences","covariate_hmm","not yet assessed","",""
"WeightedCluster","covariate_hmm","not yet assessed","",""
"ClickClust","covariate_hmm","not yet assessed","",""
"PST","covariate_hmm","not yet assessed","",""
"march","covariate_hmm","not yet assessed","",""
"gp3sequences","longitudinal_panel_workflow","verify from current documentation","",""
"TraMineR","longitudinal_panel_workflow","not yet assessed","",""
"seqHMM","longitudinal_panel_workflow","not yet assessed","",""
"arulesSequences","longitudinal_panel_workflow","not yet assessed","",""
"WeightedCluster","longitudinal_panel_workflow","not yet assessed","",""
"ClickClust","longitudinal_panel_workflow","not yet assessed","",""
"PST","longitudinal_panel_workflow","not yet assessed","",""
"march","longitudinal_panel_workflow","not yet assessed","",""
"gp3sequences","time_varying_models","verify from current documentation","",""
"TraMineR","time_varying_models","not yet assessed","",""
"seqHMM","time_varying_models","not yet assessed","",""
"arulesSequences","time_varying_models","not yet assessed","",""
"WeightedCluster","time_varying_models","not yet assessed","",""
"ClickClust","time_varying_models","not yet assessed","",""
"PST","time_varying_models","not yet assessed","",""
"march","time_varying_models","not yet assessed","",""
"gp3sequences","design_aware_inference","verify from current documentation","",""
"TraMineR","design_aware_inference","not yet assessed","",""
"seqHMM","design_aware_inference","not yet assessed","",""
"arulesSequences","design_aware_inference","not yet assessed","",""
"WeightedCluster","design_aware_inference","not yet assessed","",""
"ClickClust","design_aware_inference","not yet assessed","",""
"PST","design_aware_inference","not yet assessed","",""
"march","design_aware_inference","not yet assessed","",""
"gp3sequences","machine_readable_diagnostics","verify from current documentation","",""
"TraMineR","machine_readable_diagnostics","not yet assessed","",""
"seqHMM","machine_readable_diagnostics","not yet assessed","",""
"arulesSequences","machine_readable_diagnostics","not yet assessed","",""
"WeightedCluster","machine_readable_diagnostics","not yet assessed","",""
"ClickClust","machine_readable_diagnostics","not yet assessed","",""
"PST","machine_readable_diagnostics","not yet assessed","",""
"march","machine_readable_diagnostics","not yet assessed","",""
"gp3sequences","analysis_contracts","verify from current documentation","",""
"TraMineR","analysis_contracts","not yet assessed","",""
"seqHMM","analysis_contracts","not yet assessed","",""
"arulesSequences","analysis_contracts","not yet assessed","",""
"WeightedCluster","analysis_contracts","not yet assessed","",""
"ClickClust","analysis_contracts","not yet assessed","",""
"PST","analysis_contracts","not yet assessed","",""
"march","analysis_contracts","not yet assessed","",""
"gp3sequences","provenance_comparison","verify from current documentation","",""
"TraMineR","provenance_comparison","not yet assessed","",""
"seqHMM","provenance_comparison","not yet assessed","",""
"arulesSequences","provenance_comparison","not yet assessed","",""
"WeightedCluster","provenance_comparison","not yet assessed","",""
"ClickClust","provenance_comparison","not yet assessed","",""
"PST","provenance_comparison","not yet assessed","",""
"march","provenance_comparison","not yet assessed","",""
"gp3sequences","specialist_interoperability","verify from current documentation","",""
"TraMineR","specialist_interoperability","not yet assessed","",""
"seqHMM","specialist_interoperability","not yet assessed","",""
"arulesSequences","specialist_interoperability","not yet assessed","",""
"WeightedCluster","specialist_interoperability","not yet assessed","",""
"ClickClust","specialist_interoperability","not yet assessed","",""
"PST","specialist_interoperability","not yet assessed","",""
"march","specialist_interoperability","not yet assessed","",""
